# 2023-02-09, 16:18:48.650772
# fs = 21 Hz, N = 300
# NI 9201, 19.5.0
t,ai0
0.000000000,-0.082556760
0.047619048,0.272179968
0.095238095,-0.462999048
0.142857143,0.657763368
0.190476190,-0.848582448
0.238095238,1.038205656
0.285714286,-1.234165848
0.333333333,1.418647944
0.380952381,-1.619749248
0.428571429,1.799090232
0.476190476,-2.000191536
0.523809524,1.829936904
0.571428571,-1.640313696
0.619047619,1.449494616
0.666666667,-1.259871408
0.714285714,1.058770104
0.761904762,-0.879429120
0.809523810,0.678327816
0.857142857,-0.493845720
0.904761905,0.297885528
0.952380952,-0.113403432
1.000000000,-0.082556760
1.047619048,0.272179968
1.095238095,-0.462999048
1.142857143,0.657763368
1.190476190,-0.853723560
1.238095238,1.038205656
1.285714286,-1.229024736
1.333333333,1.413506832
1.380952381,-1.614608136
1.428571429,1.804231344
1.476190476,-1.995050424
1.523809524,1.829936904
1.571428571,-1.645454808
1.619047619,1.444353504
1.666666667,-1.265012520
1.714285714,1.058770104
1.761904762,-0.879429120
1.809523810,0.688610040
1.857142857,-0.493845720
1.904761905,0.303026640
1.952380952,-0.113403432
2.000000000,-0.082556760
2.047619048,0.277321080
2.095238095,-0.468140160
2.142857143,0.657763368
2.190476190,-0.843441336
2.238095238,1.033064544
2.285714286,-1.223883624
2.333333333,1.413506832
2.380952381,-1.619749248
2.428571429,1.799090232
2.476190476,-2.000191536
2.523809524,1.835078016
2.571428571,-1.640313696
2.619047619,1.449494616
2.666666667,-1.259871408
2.714285714,1.069052328
2.761904762,-0.884570232
2.809523810,0.683468928
2.857142857,-0.498986832
2.904761905,0.303026640
2.952380952,-0.118544544
3.000000000,-0.082556760
3.047619048,0.267038856
3.095238095,-0.468140160
3.142857143,0.657763368
3.190476190,-0.843441336
3.238095238,1.033064544
3.285714286,-1.229024736
3.333333333,1.418647944
3.380952381,-1.609467024
3.428571429,1.799090232
3.476190476,-1.995050424
3.523809524,1.835078016
3.571428571,-1.645454808
3.619047619,1.449494616
3.666666667,-1.259871408
3.714285714,1.069052328
3.761904762,-0.879429120
3.809523810,0.688610040
3.857142857,-0.493845720
3.904761905,0.308167752
3.952380952,-0.113403432
4.000000000,-0.082556760
4.047619048,0.272179968
4.095238095,-0.457857936
4.142857143,0.652622256
4.190476190,-0.848582448
4.238095238,1.038205656
4.285714286,-1.234165848
4.333333333,1.413506832
4.380952381,-1.609467024
4.428571429,1.799090232
4.476190476,-1.995050424
4.523809524,1.829936904
4.571428571,-1.645454808
4.619047619,1.454635728
4.666666667,-1.259871408
4.714285714,1.069052328
4.761904762,-0.889711344
4.809523810,0.688610040
4.857142857,-0.504127944
4.904761905,0.303026640
4.952380952,-0.118544544
5.000000000,-0.082556760
5.047619048,0.272179968
5.095238095,-0.462999048
5.142857143,0.652622256
5.190476190,-0.838300224
5.238095238,1.027923432
5.285714286,-1.229024736
5.333333333,1.418647944
5.380952381,-1.614608136
5.428571429,1.799090232
5.476190476,-1.995050424
5.523809524,1.835078016
5.571428571,-1.640313696
5.619047619,1.454635728
5.666666667,-1.259871408
5.714285714,1.069052328
5.761904762,-0.879429120
5.809523810,0.688610040
5.857142857,-0.498986832
5.904761905,0.303026640
5.952380952,-0.123685656
6.000000000,-0.072274536
6.047619048,0.261897744
6.095238095,-0.468140160
6.142857143,0.652622256
6.190476190,-0.838300224
6.238095238,1.027923432
6.285714286,-1.229024736
6.333333333,1.413506832
6.380952381,-1.604325912
6.428571429,1.799090232
6.476190476,-1.989909312
6.523809524,1.835078016
6.571428571,-1.650595920
6.619047619,1.454635728
6.666666667,-1.265012520
6.714285714,1.069052328
6.761904762,-0.884570232
6.809523810,0.688610040
6.857142857,-0.504127944
6.904761905,0.313308864
6.952380952,-0.123685656
7.000000000,-0.077415648
7.047619048,0.272179968
7.095238095,-0.457857936
7.142857143,0.647481144
7.190476190,-0.838300224
7.238095238,1.038205656
7.285714286,-1.223883624
7.333333333,1.403224608
7.380952381,-1.614608136
7.428571429,1.804231344
7.476190476,-1.995050424
7.523809524,1.829936904
7.571428571,-1.650595920
7.619047619,1.459776840
7.666666667,-1.270153632
7.714285714,1.069052328
7.761904762,-0.884570232
7.809523810,0.683468928
7.857142857,-0.498986832
7.904761905,0.303026640
7.952380952,-0.123685656
8.000000000,-0.082556760
8.047619048,0.267038856
8.095238095,-0.457857936
8.142857143,0.647481144
8.190476190,-0.838300224
8.238095238,1.038205656
8.285714286,-1.223883624
