# 2023-02-09, 15:23:34.703763
# fs = 1000 Hz, N = 256
# NI 9201, 19.5.0
t,ai0
0.000000000,0.004842144
0.001000000,-0.123685656
0.002000000,-0.241931232
0.003000000,-0.380741256
0.004000000,-0.498986832
0.005000000,-0.627514632
0.006000000,-0.740619096
0.007000000,-0.853723560
0.008000000,-0.961686912
0.009000000,-1.074791376
0.010000000,-1.177613616
0.011000000,-1.280435856
0.012000000,-1.372975872
0.013000000,-1.465515888
0.014000000,-1.547773680
0.015000000,-1.624890360
0.016000000,-1.691724816
0.017000000,-1.758559272
0.018000000,-1.815111504
0.019000000,-1.866522624
0.020000000,-1.912792632
0.021000000,-1.948780416
0.022000000,-1.974485976
0.023000000,-1.989909312
0.024000000,-2.005332648
0.025000000,-2.005332648
0.026000000,-2.005332648
0.027000000,-1.995050424
0.028000000,-1.974485976
0.029000000,-1.943639304
0.030000000,-1.912792632
0.031000000,-1.866522624
0.032000000,-1.815111504
0.033000000,-1.763700384
0.034000000,-1.691724816
0.035000000,-1.630031472
0.036000000,-1.547773680
0.037000000,-1.465515888
0.038000000,-1.378116984
0.039000000,-1.280435856
0.040000000,-1.182754728
0.041000000,-1.079932488
0.042000000,-0.971969136
0.043000000,-0.858864672
0.044000000,-0.745760208
0.045000000,-0.627514632
0.046000000,-0.504127944
0.047000000,-0.375600144
0.048000000,-0.257354568
0.049000000,-0.123685656
0.050000000,-0.000298968
0.051000000,0.117946608
0.052000000,0.241333296
0.053000000,0.375002208
0.054000000,0.493247784
0.055000000,0.611493360
0.056000000,0.734880048
0.057000000,0.847984512
0.058000000,0.961088976
0.059000000,1.069052328
0.060000000,1.171874568
0.061000000,1.274696808
0.062000000,1.372377936
0.063000000,1.464917952
0.064000000,1.542034632
0.065000000,1.619151312
0.066000000,1.685985768
0.067000000,1.752820224
0.068000000,1.809372456
0.069000000,1.860783576
0.070000000,1.907053584
0.071000000,1.943041368
0.072000000,1.963605816
0.073000000,1.984170264
0.074000000,1.999593600
