# 2023-02-09, 16:26:01.406221
# fs = 1024 Hz, N = 26
# NI 9201, 19.5.0
t,ai0
0.000000000,-0.483563496
0.000976562,-0.560680176
0.001953125,-0.637796856
0.002929688,-0.725195760
0.003906250,-0.802312440
0.004882812,-0.869146896
0.005859375,-0.951404688
0.006835938,-1.028521368
0.007812500,-1.105638048
0.008789062,-1.187895840
0.009765625,-1.265012520
0.010742188,-1.342129200
0.011718750,-1.429528104
0.012695312,-1.506644784
0.013671875,-1.583761464
0.014648438,-1.660878144
0.015625000,-1.732853712
0.016601562,-1.809970392
0.017578125,-1.892228184
0.018554688,-1.969344864
0.019531250,-1.974485976
0.020507812,-1.897369296
0.021484375,-1.809970392
0.022460938,-1.737994824
0.023437500,-1.655737032
0.024414062,-1.578620352
