# 2023-02-09, 16:30:18.419490
# fs = 1024 Hz, N = 60
# NI 9201, 19.5.0
t,ai0
0.000000000,-1.928215968
0.000976562,-2.000191536
0.001953125,-1.938498192
0.002929688,-1.866522624
0.003906250,-1.784264832
0.004882812,-1.707148152
0.005859375,-1.624890360
0.006835938,-1.552914792
0.007812500,-1.470657000
0.008789062,-1.393540320
0.009765625,-1.316423640
0.010742188,-1.239306960
0.011718750,-1.151908056
0.012695312,-1.069650264
0.013671875,-1.002815808
0.014648438,-0.920558016
0.015625000,-0.838300224
0.016601562,-0.761183544
0.017578125,-0.684066864
0.018554688,-0.612091296
0.019531250,-0.529833504
0.020507812,-0.452716824
0.021484375,-0.365317920
0.022460938,-0.288201240
0.023437500,-0.211084560
0.024414062,-0.128826768
0.025390625,-0.051710088
0.026367188,0.015124368
0.027343750,0.107664384
0.028320312,0.179639952
0.029296875,0.256756632
0.030273438,0.333873312
0.031250000,0.410989992
0.032226562,0.488106672
0.033203125,0.570364464
0.034179688,0.647481144
0.035156250,0.734880048
0.036132812,0.811996728
0.037109375,0.889113408
0.038085938,0.961088976
0.039062500,1.038205656
0.040039062,1.125604560
0.041015625,1.202721240
0.041992188,1.279837920
0.042968750,1.356954600
0.043945312,1.439212392
0.044921875,1.516329072
0.045898438,1.593445752
0.046875000,1.670562432
0.047851562,1.747679112
0.048828125,1.829936904
0.049804688,1.907053584
0.050781250,1.984170264
0.051757812,1.953323592
0.052734375,1.871065800
0.053710938,1.793949120
0.054687500,1.711691328
0.055664062,1.639715760
0.056640625,1.562599080
0.057617188,1.485482400
