# 2023-02-09, 16:30:09.112855
# fs = 1024 Hz, N = 20
# NI 9201, 19.5.0
t,ai0
0.000000000,-1.069650264
0.000976562,-1.141625832
0.001953125,-1.218742512
0.002929688,-1.301000304
0.003906250,-1.383258096
0.004882812,-1.460374776
0.005859375,-1.537491456
0.006835938,-1.614608136
0.007812500,-1.691724816
0.008789062,-1.773982608
0.009765625,-1.845958176
0.010742188,-1.923074856
0.011718750,-2.005332648
0.012695312,-1.938498192
0.013671875,-1.861381512
0.014648438,-1.784264832
0.015625000,-1.696865928
0.016601562,-1.630031472
0.017578125,-1.547773680
0.018554688,-1.465515888
